production_id,name,obra_title,obra_id,productora_name,synopsis,direction,theater,address,barrio,ciudad_partido,localidad,provincia,start_date,end_date,image_id,image_url,instagram,website,source,is_new
195,Un tiro cada uno,Un tiro cada uno,84372,,,,TIMBRE 4,México 3554 / Boedo 640,,Capital Federal,Capital Federal,Buenos Aires,,,185,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/83/000309883.jpg,,https://alternativateatral.com/obra84372-un-tiro-cada-uno,alternativateatral_api,true
196,24 Toneladas,24 Toneladas,84544,,,,BECKETT TEATRO,Guardia Vieja 3556,,Capital Federal,Capital Federal,Buenos Aires,,,186,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/22/000282722.jpg,,https://alternativateatral.com/obra84544-24-toneladas,alternativateatral_api,true
197,"Sombras, por supuesto","Sombras, por supuesto",84567,,,,ARTHAUS CENTRAL,Bartolomé Mitre 434,,Capital Federal,Capital Federal,Buenos Aires,,,187,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/93/000280093.jpg,,https://alternativateatral.com/obra84567-sombras-por-supuesto,alternativateatral_api,true
198,La dama del alba,La dama del alba,84780,,,,"BULULÚ, CLUB DE COMEDIA",Av. Rivadavia 1350,,Capital Federal,Capital Federal,Buenos Aires,,,188,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/50/000309450.jpg,,https://alternativateatral.com/obra84780-la-dama-del-alba,alternativateatral_api,true
199,El Zoo de Cristal,El Zoo de Cristal,84782,,,,TEATRO HASTA TRILCE,Maza 177,,Capital Federal,Capital Federal,Buenos Aires,,,189,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/53/000310953.jpg,,https://alternativateatral.com/obra84782-el-zoo-de-cristal,alternativateatral_api,true
200,Overlock,Overlock,84875,,,,ESPACIO CALLEJÓN,Humahuaca 3759,,Capital Federal,Capital Federal,Buenos Aires,,,190,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/83/000289583.jpg,,https://alternativateatral.com/obra84875-overlock,alternativateatral_api,true
201,Sociedad Platense de Stand Up,Sociedad Platense de Stand Up,85003,,,,TRES EMPANADAS COMEDIA,Calle 43 N°1349,,La Plata,La Plata,Buenos Aires,,,,,,https://alternativateatral.com/obra85003-sociedad-platense-de-stand-up,alternativateatral_api,true
202,Vazzana- Frías,Vazzana- Frías,85158,,,,LA SCALA DE SAN TELMO + GIUFFRA,Pasaje Giuffra 371,,Capital Federal,Capital Federal,Buenos Aires,,,191,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/11/000310911.jpg,,https://alternativateatral.com/obra85158-vazzana-frias,alternativateatral_api,true
203,Vanesa Strauch Stand Up,Vanesa Strauch Stand Up,85174,,,,DUMONT 4040,Santos Dumont 4040,,Capital Federal,Capital Federal,Buenos Aires,,,192,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/79/000306579.jpg,,https://alternativateatral.com/obra85174-vanesa-strauch-stand-up,alternativateatral_api,true
204,Todo lo que nombro desaparece,Todo lo que nombro desaparece,85254,,,,CENTRO CULTURAL RECTOR RICARDO ROJAS,Av. Corrientes 2038,,Capital Federal,Capital Federal,Buenos Aires,,,193,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/16/000289816.jpg,,https://alternativateatral.com/obra85254-todo-lo-que-nombro-desaparece,alternativateatral_api,true
